beach_name,water_temperature,air_temperature,turbidity,wave_height,rainfall,ph,dissolved_oxygen,conductivity,bacteria_count,water_quality_status
Silver Shore,22.21,26.39,6.28,0.05,0.2,7.1,6.4,43711.23,105.71,Safe
Coral Point,24.78,23.8,3.22,0.69,14.46,7.28,8.16,41980.85,143.72,Moderate Risk
Blue Bay,28.29,34.44,2.58,1.41,5.32,7.76,9.56,35117.42,86.19,Safe
Coral Point,19.89,26.4,0.75,0.09,1.5,7.98,6.37,27822.36,56.91,Safe
Coral Point,24.53,26.84,6.32,0.73,2.4,7.69,9.36,42735.54,115.37,Moderate Risk
Palm Coast,21.2,24.07,4.63,0.36,7.46,7.88,6.54,47165.17,97.66,Safe
Blue Bay,28.78,27.19,5.3,0.25,2.19,7.85,6.18,41295.83,103.26,Safe
Blue Bay,17.91,22.45,8.69,0.25,20.39,7.78,7.56,38523.45,224.07,Unsafe
Blue Bay,21.76,26.48,3.51,0.36,4.74,7.37,8.06,45019.26,88.48,Safe
Coral Point,25.51,28.32,4.41,0.36,17.6,7.66,8.29,41458.34,140.49,Moderate Risk
Silver Shore,30.26,36.64,2.57,0.5,6.26,7.3,6.05,52957.34,125.74,Safe
Blue Bay,23.74,25.73,1.8,0.23,9.84,7.61,7.72,50012.73,122.4,Safe
Coral Point,21.78,26.47,2.1,0.28,9.34,7.72,6.38,48236.8,146.08,Safe
Palm Coast,31.52,31.47,0.24,0.79,3.24,8.19,5.41,46925.27,1.0,Safe
Silver Shore,18.21,21.14,4.86,0.21,9.95,7.14,6.09,33613.91,148.04,Moderate Risk
Palm Coast,15.2,17.68,4.53,0.63,3.55,7.77,6.3,46309.46,120.21,Safe
Silver Shore,25.76,29.44,4.79,0.38,0.62,8.12,7.83,44446.12,56.1,Safe
Coral Point,21.99,23.88,1.7,0.32,4.33,7.87,8.58,45941.76,79.49,Safe
North Beach,19.92,22.52,2.12,1.73,1.23,7.89,5.43,45201.96,126.28,Moderate Risk
Silver Shore,26.83,32.31,2.07,0.14,3.42,7.81,7.62,44942.96,38.78,Safe
Palm Coast,24.98,26.66,6.92,1.48,5.15,8.05,5.79,59555.63,156.94,Moderate Risk
Coral Point,21.74,19.92,3.84,0.95,1.89,7.22,7.95,41504.79,123.63,Safe
Silver Shore,18.88,27.13,3.48,0.29,8.77,7.11,6.45,48086.19,63.89,Safe
North Beach,27.49,34.63,5.63,0.97,3.5,7.6,5.94,38938.57,110.11,Moderate Risk
North Beach,26.6,25.72,2.08,0.05,1.18,6.84,8.16,47139.17,69.12,Safe
Blue Bay,23.6,28.67,4.33,0.26,1.92,8.03,6.5,48105.58,57.45,Safe
Blue Bay,31.39,32.88,11.15,0.21,5.91,8.03,6.82,44368.77,128.52,Moderate Risk
Palm Coast,19.72,23.51,7.64,0.69,4.14,7.45,4.54,52850.11,125.62,Moderate Risk
Silver Shore,17.9,21.78,4.29,0.87,6.99,7.47,8.34,36252.21,141.13,Moderate Risk
Silver Shore,21.23,23.53,3.58,0.69,5.95,7.57,8.19,38833.06,122.31,Safe
Blue Bay,23.82,24.47,4.77,0.57,1.71,7.62,7.21,43380.47,63.77,Safe
Silver Shore,24.97,25.9,8.32,1.02,2.75,7.64,5.37,47725.24,160.49,Moderate Risk
Silver Shore,23.04,23.29,7.95,0.92,11.14,7.8,8.65,43166.29,131.69,Moderate Risk
North Beach,25.41,25.91,9.23,0.28,2.09,7.54,6.4,50357.43,73.89,Moderate Risk
Blue Bay,18.99,21.79,3.99,0.31,17.92,7.93,6.66,37699.02,124.68,Moderate Risk
Coral Point,29.78,30.63,0.4,0.88,0.85,7.76,9.97,34586.24,96.63,Safe
Blue Bay,23.67,28.72,10.66,0.49,10.84,7.39,6.36,44002.83,199.6,Unsafe
Coral Point,28.47,35.93,1.79,0.52,4.81,8.07,8.09,41498.33,76.81,Safe
North Beach,25.37,26.63,5.57,0.58,1.72,7.12,7.87,45528.61,86.75,Safe
Palm Coast,25.83,29.55,0.41,0.07,5.75,7.57,7.67,41821.89,45.89,Safe
Silver Shore,26.28,30.78,3.43,0.27,2.18,7.94,7.54,39789.87,81.97,Safe
North Beach,25.79,30.21,2.63,0.74,2.96,7.35,7.65,41512.91,44.69,Safe
Silver Shore,26.57,29.8,9.24,0.27,3.6,7.71,7.53,42187.52,123.03,Moderate Risk
Palm Coast,29.32,34.54,4.33,0.42,10.14,7.79,7.14,40017.62,108.42,Safe
Palm Coast,24.79,29.23,3.4,0.74,2.71,7.3,9.01,40679.64,40.84,Safe
North Beach,26.84,26.12,4.66,1.06,6.61,7.57,5.62,39376.64,89.21,Moderate Risk
Palm Coast,23.64,29.25,0.13,1.15,10.47,7.55,8.43,47568.32,106.95,Safe
Coral Point,29.76,35.42,2.04,1.2,5.61,7.41,8.19,43261.14,94.37,Safe
Palm Coast,21.29,22.0,2.3,0.45,7.55,8.41,8.04,56668.89,78.71,Safe
Silver Shore,31.2,34.32,5.17,0.41,5.13,7.33,8.54,43044.58,74.53,Safe
Silver Shore,23.84,28.89,1.47,0.16,8.61,7.95,7.09,38419.43,135.64,Safe
Silver Shore,18.28,20.65,3.87,1.42,1.13,7.46,4.96,59359.39,69.87,Safe
Silver Shore,24.51,30.73,3.17,0.4,16.69,7.22,7.11,44688.57,136.27,Moderate Risk
Coral Point,21.28,31.37,2.13,1.39,2.52,7.64,6.01,48435.81,70.72,Safe
Blue Bay,27.36,28.0,2.24,0.64,4.86,7.83,6.32,45848.67,84.55,Safe
North Beach,21.39,20.25,3.15,1.1,0.34,7.92,5.71,46049.57,100.28,Safe
Silver Shore,22.22,26.13,0.55,0.48,3.12,8.15,6.63,45481.75,11.26,Safe
Palm Coast,16.44,21.61,5.68,0.79,6.86,8.63,6.48,34836.45,123.5,Moderate Risk
Silver Shore,22.19,24.5,1.78,1.13,18.49,7.69,4.35,44388.94,175.82,Moderate Risk
Palm Coast,14.3,21.66,2.76,0.33,8.95,7.37,8.04,33388.4,157.87,Safe
Palm Coast,17.66,16.65,9.02,1.21,3.39,7.76,9.86,40866.64,144.89,Moderate Risk
Silver Shore,27.04,32.12,5.74,0.19,0.74,7.51,7.93,37283.49,94.02,Safe
Coral Point,27.14,28.33,1.25,1.7,15.21,7.92,6.96,44323.56,205.98,Moderate Risk
Palm Coast,25.7,33.86,0.1,0.58,3.22,7.15,7.13,44171.82,96.97,Safe
Palm Coast,20.13,29.11,4.8,0.28,6.85,8.43,6.69,45127.45,84.82,Safe
Silver Shore,23.81,24.51,2.84,0.94,3.4,7.9,7.31,43867.43,67.4,Safe
Palm Coast,23.99,25.34,3.89,0.67,7.63,7.01,7.16,38055.64,141.43,Moderate Risk
Palm Coast,19.37,24.95,5.62,0.08,14.67,7.35,6.19,40303.48,101.42,Moderate Risk
Silver Shore,30.01,31.85,6.21,0.36,10.04,7.89,9.22,47982.58,169.68,Moderate Risk
Silver Shore,27.51,30.37,2.44,0.2,4.07,8.01,5.42,48941.07,85.99,Safe
